ball_x,ball_y,ball_dx,ball_dy,paddle_y,action
404,304,4,4,250,0
408,308,4,4,250,0
412,312,4,4,250,0
416,316,4,4,250,0
420,320,4,4,250,0
424,324,4,4,250,0
428,328,4,4,250,0
432,332,4,4,250,0
436,336,4,4,250,0
440,340,4,4,250,0
444,344,4,4,250,0
448,348,4,4,250,0
452,352,4,4,250,0
456,356,4,4,250,0
460,360,4,4,250,0
464,364,4,4,250,0
468,368,4,4,250,0
472,372,4,4,250,0
476,376,4,4,250,0
480,380,4,4,250,0
484,384,4,4,250,0
488,388,4,4,250,0
492,392,4,4,250,0
496,396,4,4,250,0
500,400,4,4,250,0
504,404,4,4,250,0
508,408,4,4,250,0
512,412,4,4,250,0
516,416,4,4,250,0
520,420,4,4,250,0
524,424,4,4,250,0
528,428,4,4,250,0
532,432,4,4,250,0
536,436,4,4,250,0
540,440,4,4,250,0
544,444,4,4,250,0
548,448,4,4,250,0
552,452,4,4,250,0
556,456,4,4,250,0
560,460,4,4,250,0
564,464,4,4,250,0
568,468,4,4,250,0
572,472,4,4,250,0
576,476,4,4,250,0
580,480,4,4,250,0
584,484,4,4,250,0
588,488,4,4,250,0
592,492,4,4,250,0
596,496,4,4,250,0
600,500,4,4,250,0
604,504,4,4,250,0
608,508,4,4,250,0
612,512,4,4,250,0
616,516,4,4,250,0
620,520,4,4,250,0
624,524,4,4,250,0
628,528,4,4,255,2
632,532,4,4,260,2
636,536,4,4,265,2
640,540,4,4,270,2
644,544,4,4,275,2
648,548,4,4,280,2
652,552,4,4,285,2
656,556,4,4,290,2
660,560,4,4,295,2
664,564,4,4,300,2
668,568,4,4,305,2
672,572,4,4,310,2
676,576,4,4,310,0
680,580,4,4,310,0
684,584,4,4,310,0
688,588,4,4,310,0
692,592,4,-4,310,0
696,588,4,-4,310,0
700,584,4,-4,310,0
704,580,4,-4,310,0
708,576,4,-4,310,0
712,572,4,-4,310,0
716,568,4,-4,310,0
720,564,4,-4,310,0
724,560,4,-4,315,2
728,556,4,-4,320,2
732,552,4,-4,325,2
736,548,4,-4,330,2
740,544,4,-4,335,2
744,540,4,-4,340,2
748,536,4,-4,345,2
752,532,4,-4,350,2
756,528,4,-4,350,0
760,524,4,-4,350,0
764,520,4,-4,350,0
768,516,4,-4,350,0
772,512,4,-4,350,0
776,508,4,-4,350,0
780,504,4,-4,355,2
784,500,4,-4,360,2
788,496,4,-4,365,2
792,492,-4,-4,370,2
788,488,-4,-4,375,2
784,484,-4,-4,380,2
780,480,-4,-4,385,2
776,476,-4,-4,390,2
772,472,-4,-4,390,0
768,468,-4,-4,390,0
764,464,-4,-4,390,0
760,460,-4,-4,390,0
756,456,-4,-4,390,0
752,452,-4,-4,390,0
748,448,-4,-4,390,0
744,444,-4,-4,390,0
740,440,-4,-4,390,0
736,436,-4,-4,390,0
732,432,-4,-4,385,1
728,428,-4,-4,380,1
724,424,-4,-4,375,1
720,420,-4,-4,370,1
716,416,-4,-4,365,1
712,412,-4,-4,360,1
708,408,-4,-4,355,1
704,404,-4,-4,350,1
700,400,-4,-4,350,0
696,396,-4,-4,350,0
692,392,-4,-4,350,0
688,388,-4,-4,345,1
684,384,-4,-4,340,1
680,380,-4,-4,335,1
676,376,-4,-4,330,1
672,372,-4,-4,325,1
668,368,-4,-4,320,1
664,364,-4,-4,315,1
660,360,-4,-4,310,1
656,356,-4,-4,305,1
652,352,-4,-4,300,1
648,348,-4,-4,295,1
644,344,-4,-4,290,1
640,340,-4,-4,285,1
636,336,-4,-4,280,1
632,332,-4,-4,275,1
628,328,-4,-4,270,1
624,324,-4,-4,265,1
620,320,-4,-4,260,1
616,316,-4,-4,255,1
612,312,-4,-4,250,1
608,308,-4,-4,245,1
604,304,-4,-4,240,1
600,300,-4,-4,235,1
596,296,-4,-4,230,1
592,292,-4,-4,225,1
588,288,-4,-4,220,1
584,284,-4,-4,215,1
580,280,-4,-4,210,1
576,276,-4,-4,205,1
572,272,-4,-4,200,1
568,268,-4,-4,200,0
