ball_x,ball_y,ball_dx,ball_dy,paddle_y,action
404,304,4,4,250,0
408,308,4,4,250,0
412,312,4,4,250,0
416,316,4,4,250,0
420,320,4,4,250,0
424,324,4,4,250,0
428,328,4,4,250,0
432,332,4,4,250,0
436,336,4,4,250,0
440,340,4,4,250,0
444,344,4,4,250,0
448,348,4,4,250,0
452,352,4,4,250,0
456,356,4,4,250,0
460,360,4,4,250,0
464,364,4,4,250,0
468,368,4,4,250,0
472,372,4,4,250,0
476,376,4,4,245,1
480,380,4,4,240,1
484,384,4,4,235,1
488,388,4,4,230,1
492,392,4,4,225,1
496,396,4,4,220,1
500,400,4,4,215,1
504,404,4,4,210,1
508,408,4,4,205,1
512,412,4,4,200,1
516,416,4,4,195,1
520,420,4,4,190,1
524,424,4,4,185,1
528,428,4,4,180,1
532,432,4,4,175,1
536,436,4,4,170,1
540,440,4,4,165,1
544,444,4,4,160,1
548,448,4,4,155,1
552,452,4,4,150,1
556,456,4,4,150,0
560,460,4,4,150,0
564,464,4,4,150,0
568,468,4,4,150,0
572,472,4,4,150,0
576,476,4,4,150,0
580,480,4,4,150,0
584,484,4,4,150,0
588,488,4,4,150,0
592,492,4,4,150,0
596,496,4,4,150,0
600,500,4,4,155,2
604,504,4,4,160,2
608,508,4,4,165,2
612,512,4,4,170,2
616,516,4,4,175,2
620,520,4,4,180,2
624,524,4,4,185,2
628,528,4,4,190,2
632,532,4,4,195,2
636,536,4,4,200,2
640,540,4,4,205,2
644,544,4,4,210,2
648,548,4,4,210,0
652,552,4,4,210,0
656,556,4,4,210,0
660,560,4,4,210,0
664,564,4,4,210,0
668,568,4,4,210,0
672,572,4,4,210,0
676,576,4,4,210,0
680,580,4,4,210,0
684,584,4,4,210,0
688,588,4,4,210,0
692,592,4,-4,210,0
696,588,4,-4,210,0
700,584,4,-4,210,0
704,580,4,-4,210,0
708,576,4,-4,210,0
712,572,4,-4,210,0
716,568,4,-4,210,0
720,564,4,-4,210,0
724,560,4,-4,210,0
728,556,4,-4,210,0
732,552,4,-4,210,0
736,548,4,-4,210,0
740,544,4,-4,210,0
744,540,4,-4,210,0
748,536,4,-4,210,0
752,532,4,-4,210,0
756,528,4,-4,210,0
760,524,4,-4,210,0
764,520,4,-4,210,0
768,516,4,-4,210,0
772,512,4,-4,210,0
776,508,4,-4,210,0
780,504,4,-4,210,0
784,500,4,-4,210,0
788,496,4,-4,210,0
792,492,-4,-4,210,0
788,488,-4,-4,210,0
784,484,-4,-4,210,0
780,480,-4,-4,210,0
776,476,-4,-4,210,0
772,472,-4,-4,210,0
768,468,-4,-4,210,0
764,464,-4,-4,210,0
760,460,-4,-4,210,0
756,456,-4,-4,210,0
752,452,-4,-4,210,0
748,448,-4,-4,210,0
744,444,-4,-4,210,0
740,440,-4,-4,210,0
736,436,-4,-4,210,0
732,432,-4,-4,210,0
728,428,-4,-4,210,0
724,424,-4,-4,210,0
720,420,-4,-4,210,0
716,416,-4,-4,210,0
712,412,-4,-4,210,0
708,408,-4,-4,210,0
704,404,-4,-4,210,0
700,400,-4,-4,210,0
696,396,-4,-4,210,0
692,392,-4,-4,210,0
688,388,-4,-4,210,0
684,384,-4,-4,210,0
680,380,-4,-4,210,0
676,376,-4,-4,210,0
672,372,-4,-4,210,0
668,368,-4,-4,210,0
664,364,-4,-4,210,0
660,360,-4,-4,210,0
656,356,-4,-4,210,0
652,352,-4,-4,210,0
648,348,-4,-4,210,0
644,344,-4,-4,210,0
640,340,-4,-4,210,0
636,336,-4,-4,210,0
632,332,-4,-4,210,0
628,328,-4,-4,210,0
624,324,-4,-4,210,0
620,320,-4,-4,210,0
616,316,-4,-4,210,0
612,312,-4,-4,210,0
608,308,-4,-4,210,0
604,304,-4,-4,210,0
600,300,-4,-4,210,0
596,296,-4,-4,210,0
592,292,-4,-4,210,0
588,288,-4,-4,210,0
584,284,-4,-4,210,0
580,280,-4,-4,210,0
576,276,-4,-4,210,0
572,272,-4,-4,210,0
568,268,-4,-4,210,0
