ball_x,ball_y,ball_dx,ball_dy,paddle_y,action
404,296,4,-4,250,0
408,292,4,-4,250,0
412,288,4,-4,250,0
416,284,4,-4,250,0
420,280,4,-4,250,0
424,276,4,-4,250,0
428,272,4,-4,250,0
432,268,4,-4,250,0
436,264,4,-4,250,0
440,260,4,-4,250,0
444,256,4,-4,250,0
448,252,4,-4,250,0
452,248,4,-4,250,0
456,244,4,-4,250,0
460,240,4,-4,250,0
464,236,4,-4,250,0
468,232,4,-4,250,0
472,228,4,-4,250,0
476,224,4,-4,250,0
480,220,4,-4,250,0
484,216,4,-4,250,0
488,212,4,-4,250,0
492,208,4,-4,250,0
496,204,4,-4,250,0
500,200,4,-4,250,0
504,196,4,-4,250,0
508,192,4,-4,250,0
512,188,4,-4,250,0
516,184,4,-4,250,0
520,180,4,-4,250,0
524,176,4,-4,250,0
528,172,4,-4,250,0
532,168,4,-4,250,0
536,164,4,-4,250,0
540,160,4,-4,250,0
544,156,4,-4,250,0
548,152,4,-4,250,0
552,148,4,-4,250,0
556,144,4,-4,250,0
560,140,4,-4,250,0
564,136,4,-4,250,0
568,132,4,-4,250,0
572,128,4,-4,250,0
576,124,4,-4,250,0
580,120,4,-4,250,0
584,116,4,-4,250,0
588,112,4,-4,250,0
592,108,4,-4,250,0
596,104,4,-4,250,0
600,100,4,-4,250,0
604,96,4,-4,250,0
608,92,4,-4,250,0
612,88,4,-4,250,0
616,84,4,-4,250,0
620,80,4,-4,250,0
624,76,4,-4,250,0
628,72,4,-4,250,0
632,68,4,-4,250,0
636,64,4,-4,250,0
640,60,4,-4,250,0
644,56,4,-4,250,0
648,52,4,-4,250,0
652,48,4,-4,250,0
656,44,4,-4,250,0
660,40,4,-4,250,0
664,36,4,-4,250,0
668,32,4,-4,250,0
672,28,4,-4,250,0
676,24,4,-4,250,0
680,20,4,-4,250,0
684,16,4,-4,250,0
688,12,4,-4,245,1
692,8,4,-4,240,1
696,4,4,-4,235,1
700,0,4,4,230,1
704,4,4,4,225,1
708,8,4,4,220,1
712,12,4,4,215,1
716,16,4,4,210,1
720,20,4,4,205,1
724,24,4,4,200,1
728,28,4,4,195,1
732,32,4,4,190,1
736,36,4,4,185,1
740,40,4,4,180,1
744,44,4,4,175,1
748,48,4,4,175,0
752,52,4,4,175,0
756,56,4,4,175,0
760,60,4,4,175,0
764,64,4,4,175,0
768,68,4,4,170,1
772,72,4,4,165,1
776,76,4,4,160,1
780,80,4,4,155,1
784,84,4,4,150,1
788,88,4,4,145,1
792,92,-4,4,140,1
788,96,-4,4,135,1
784,100,-4,4,130,1
780,104,-4,4,125,1
776,108,-4,4,125,0
772,112,-4,4,125,0
768,116,-4,4,125,0
764,120,-4,4,125,0
760,124,-4,4,125,0
756,128,-4,4,125,0
752,132,-4,4,125,0
748,136,-4,4,125,0
744,140,-4,4,125,0
740,144,-4,4,125,0
736,148,-4,4,125,0
732,152,-4,4,125,0
728,156,-4,4,125,0
724,160,-4,4,125,0
720,164,-4,4,125,0
716,168,-4,4,125,0
712,172,-4,4,125,0
708,176,-4,4,130,2
704,180,-4,4,135,2
700,184,-4,4,140,2
696,188,-4,4,145,2
692,192,-4,4,150,2
688,196,-4,4,155,2
684,200,-4,4,160,2
680,204,-4,4,165,2
676,208,-4,4,170,2
672,212,-4,4,175,2
668,216,-4,4,180,2
664,220,-4,4,185,2
660,224,-4,4,190,2
656,228,-4,4,195,2
652,232,-4,4,200,2
648,236,-4,4,205,2
644,240,-4,4,210,2
640,244,-4,4,215,2
636,248,-4,4,220,2
632,252,-4,4,225,2
628,256,-4,4,230,2
624,260,-4,4,235,2
620,264,-4,4,240,2
616,268,-4,4,245,2
612,272,-4,4,250,2
608,276,-4,4,255,2
604,280,-4,4,260,2
600,284,-4,4,265,2
596,288,-4,4,270,2
592,292,-4,4,275,2
588,296,-4,4,280,2
584,300,-4,4,285,2
580,304,-4,4,290,2
576,308,-4,4,295,2
572,312,-4,4,300,2
568,316,-4,4,305,2
564,320,-4,4,310,2
560,324,-4,4,315,2
556,328,-4,4,320,2
552,332,-4,4,325,2
548,336,-4,4,330,2
544,340,-4,4,335,2
540,344,-4,4,340,2
536,348,-4,4,345,2
532,352,-4,4,350,2
528,356,-4,4,355,2
524,360,-4,4,360,2
520,364,-4,4,365,2
516,368,-4,4,370,2
512,372,-4,4,375,2
508,376,-4,4,380,2
504,380,-4,4,385,2
500,384,-4,4,390,2
496,388,-4,4,395,2
492,392,-4,4,400,2
488,396,-4,4,405,2
484,400,-4,4,410,2
480,404,-4,4,415,2
476,408,-4,4,420,2
472,412,-4,4,425,2
468,416,-4,4,430,2
464,420,-4,4,435,2
460,424,-4,4,440,2
456,428,-4,4,445,2
452,432,-4,4,450,2
448,436,-4,4,450,0
444,440,-4,4,450,0
440,444,-4,4,450,0
436,448,-4,4,450,0
432,452,-4,4,450,0
428,456,-4,4,450,0
424,460,-4,4,450,0
420,464,-4,4,450,0
416,468,-4,4,450,0
412,472,-4,4,450,0
408,476,-4,4,450,0
404,480,-4,4,450,0
400,484,-4,4,450,0
396,488,-4,4,450,0
392,492,-4,4,450,0
388,496,-4,4,450,0
384,500,-4,4,450,0
380,504,-4,4,450,0
376,508,-4,4,450,0
372,512,-4,4,450,0
368,516,-4,4,450,0
364,520,-4,4,450,0
360,524,-4,4,450,0
356,528,-4,4,450,0
352,532,-4,4,450,0
348,536,-4,4,450,0
344,540,-4,4,450,0
340,544,-4,4,450,0
336,548,-4,4,450,0
332,552,-4,4,450,0
328,556,-4,4,450,0
324,560,-4,4,450,0
320,564,-4,4,450,0
316,568,-4,4,450,0
312,572,-4,4,450,0
308,576,-4,4,450,0
304,580,-4,4,450,0
300,584,-4,4,450,0
296,588,-4,4,450,0
292,592,-4,-4,450,0
288,588,-4,-4,450,0
284,584,-4,-4,450,0
280,580,-4,-4,450,0
276,576,-4,-4,450,0
272,572,-4,-4,450,0
268,568,-4,-4,450,0
264,564,-4,-4,450,0
260,560,-4,-4,450,0
256,556,-4,-4,450,0
252,552,-4,-4,450,0
248,548,-4,-4,450,0
244,544,-4,-4,450,0
240,540,-4,-4,450,0
236,536,-4,-4,450,0
232,532,-4,-4,445,1
228,528,-4,-4,440,1
224,524,-4,-4,435,1
220,520,-4,-4,430,1
216,516,-4,-4,425,1
212,512,-4,-4,420,1
208,508,-4,-4,415,1
204,504,-4,-4,410,1
200,500,-4,-4,405,1
196,496,-4,-4,400,1
192,492,-4,-4,395,1
188,488,-4,-4,390,1
184,484,-4,-4,385,1
180,480,-4,-4,380,1
176,476,-4,-4,375,1
172,472,-4,-4,370,1
168,468,-4,-4,370,0
164,464,-4,-4,370,0
160,460,-4,-4,370,0
156,456,-4,-4,370,0
152,452,-4,-4,370,0
148,448,-4,-4,370,0
144,444,-4,-4,370,0
140,440,-4,-4,370,0
136,436,-4,-4,370,0
132,432,-4,-4,370,0
128,428,-4,-4,370,0
124,424,-4,-4,370,0
120,420,-4,-4,370,0
116,416,-4,-4,370,0
112,412,-4,-4,370,0
108,408,-4,-4,370,0
104,404,-4,-4,370,0
100,400,-4,-4,370,0
96,396,-4,-4,370,0
92,392,-4,-4,370,0
88,388,-4,-4,370,0
84,384,-4,-4,370,0
80,380,-4,-4,370,0
76,376,-4,-4,370,0
72,372,-4,-4,365,1
68,368,-4,-4,360,1
64,364,-4,-4,355,1
60,360,4,-4,350,1
64,356,4,-4,345,1
68,352,4,-4,340,1
72,348,4,-4,335,1
76,344,4,-4,330,1
80,340,4,-4,325,1
84,336,4,-4,320,1
88,332,4,-4,315,1
92,328,4,-4,310,1
96,324,4,-4,305,1
100,320,4,-4,300,1
104,316,4,-4,295,1
108,312,4,-4,290,1
112,308,4,-4,285,1
116,304,4,-4,280,1
120,300,4,-4,275,1
124,296,4,-4,270,1
128,292,4,-4,265,1
132,288,4,-4,260,1
136,284,4,-4,255,1
140,280,4,-4,250,1
144,276,4,-4,245,1
148,272,4,-4,240,1
152,268,4,-4,235,1
156,264,4,-4,230,1
160,260,4,-4,225,1
164,256,4,-4,220,1
168,252,4,-4,215,1
172,248,4,-4,210,1
176,244,4,-4,205,1
180,240,4,-4,200,1
184,236,4,-4,195,1
188,232,4,-4,190,1
192,228,4,-4,185,1
196,224,4,-4,180,1
200,220,4,-4,180,0
204,216,4,-4,180,0
208,212,4,-4,180,0
212,208,4,-4,180,0
216,204,4,-4,180,0
220,200,4,-4,180,0
224,196,4,-4,180,0
228,192,4,-4,180,0
232,188,4,-4,180,0
236,184,4,-4,180,0
240,180,4,-4,180,0
244,176,4,-4,180,0
248,172,4,-4,180,0
252,168,4,-4,180,0
256,164,4,-4,180,0
260,160,4,-4,180,0
264,156,4,-4,180,0
268,152,4,-4,180,0
272,148,4,-4,180,0
276,144,4,-4,180,0
280,140,4,-4,180,0
284,136,4,-4,180,0
288,132,4,-4,180,0
292,128,4,-4,180,0
296,124,4,-4,180,0
300,120,4,-4,180,0
304,116,4,-4,180,0
308,112,4,-4,180,0
312,108,4,-4,180,0
316,104,4,-4,180,0
320,100,4,-4,180,0
324,96,4,-4,180,0
328,92,4,-4,180,0
332,88,4,-4,180,0
336,84,4,-4,180,0
340,80,4,-4,180,0
344,76,4,-4,180,0
348,72,4,-4,180,0
352,68,4,-4,180,0
356,64,4,-4,180,0
360,60,4,-4,180,0
364,56,4,-4,180,0
368,52,4,-4,180,0
372,48,4,-4,180,0
